disease_id,icd9cm,name
1,002.0,TYPHOID FEVER
2,003.0,SALMONELLA GASTROENTERITIS
3,003.1,SALMONELLA SEPTICEMIA
4,003.23,SALMONELLA ARTHRITIS
5,003.8,OTHER SPECIFIED SALMONELLA INFECTIONS
6,003.9,"SALMONELLA INFECTION, UNSPECIFIED"
7,004.9,"SHIGELLOSIS, UNSPECIFIED"
8,005.0,STAPHYLOCOCCAL FOOD POISONING
9,005.1,BOTULISM FOOD POISONING
10,005.9,"FOOD POISONING, UNSPECIFIED"
11,006.0,ACUTE AMEBIC DYSENTERY WITHOUT MENTION OF ABSCESS
12,006.3,AMEBIC LIVER ABSCESS
13,006.8,AMEBIC INFECTION OF OTHER SITES
14,006.9,"AMEBIASIS, UNSPECIFIED"
15,007.1,GIARDIASIS
16,007.2,COCCIDIOSIS
17,007.4,CRYPTOSPORIDIOSIS
18,007.8,OTHER SPECIFIED PROTOZOAL INTESTINAL DISEASES
19,008.00,"INTESTINAL INFECTION DUE TO E. COLI, UNSPECIFIED"
20,008.04,INTESTINAL INFECTION DUE TO ENTEROHEMORRHAGIC E. COLI
21,008.09,INTESTINAL INFECTION DUE TO OTHER INTESTINAL E. COLI INFECTIONS
22,008.41,INTESTINAL INFECTION DUE TO STAPHYLOCOCCUS
23,008.42,INTESTINAL INFECTION DUE TO PSEUDOMONAS
24,008.43,INTESTINAL INFECTION DUE TO CAMPYLOBACTER
25,008.45,INTESTINAL INFECTION DUE TO CLOSTRIDIUM DIFFICILE
26,008.46,INTESTINAL INFECTION DUE TO OTHER ANAEROBES
27,008.47,INTESTINAL INFECTION DUE TO OTHER GRAM-NEGATIVE BACTERIA
28,008.49,INTESTINAL INFECTION DUE TO OTHER ORGANISMS
29,008.5,"BACTERIAL ENTERITIS, UNSPECIFIED"
30,008.61,ENTERITIS DUE TO ROTAVIRUS
31,008.62,ENTERITIS DUE TO ADENOVIRUS
32,008.67,ENTERITIS DUE TO ENTEROVIRUS NEC
33,008.69,ENTERITIS DUE TO OTHER VIRAL ENTERITIS
